anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	hindi_meaning	english_meaning	samAsa	prayoga	sarvanAma	name_classification	book	part1	part2	__v	_id	chaptno	slokano	sentno	bgcolor	graph
1.1	सर्व-	5.1	सर्वभूतस्थमात्मानं	सर्व	सर्व	कर्मधारयः,1.2	कर्मधारयः,1.2	सम्पूर्ण_भूतों_में_स्थित	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58587a990553544aa680	06	029	1	#FFFF00	assets/graphs/06_029_1.svg
1.2	भूत-	5.2	-	भूत	भूत	उपपद-तत्पुरुषः,1.3	उपपद-तत्पुरुषः,1.3	-	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58587a990553544aa681	06	029	1	#FFFF00	assets/graphs/06_029_1.svg
1.3	स्थम्	5.3	-	स्थ{पुं;2;एक}/स्थ{नपुं;1;एक}/स्थ{नपुं;2;एक}	स्थ{पुं;2;एक}	विशेषणम्,2.1	विशेषणम्,2.1	-	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58587a990553544aa682	06	029	1	#93DB70	assets/graphs/06_029_1.svg
2.1	आत्मानम्	4	-	आत्मन्{पुं;2;एक}	आत्मन्{पुं;2;एक}	कर्म,6.1	कर्म,6.1	आत्मा_को	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58587a990553544aa683	06	029	1	#93DB70	assets/graphs/06_029_1.svg
3.1	सर्व-	8.1	सर्वभूतानि	सर्व	सर्व	कर्मधारयः,3.2	कर्मधारयः,3.2	सम्पूर्ण_भूतों_को	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58587a990553544aa684	06	029	1	#FFFF00	assets/graphs/06_029_1.svg
3.2	भूतानि	8.2	-	भूत{नपुं;1;बहु}/भूत{नपुं;2;बहु}	भूत{नपुं;2;बहु}	समुच्चितः,2.1	समुच्चितः,2.1	-	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58587a990553544aa685	06	029	1	#93DB70	assets/graphs/06_029_1.svg
4.1	च	7	चात्मनि	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,2.1	समुच्चय_द्योतकः,2.1	और	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58587a990553544aa686	06	029	1	#FF99FF	assets/graphs/06_029_1.svg
5.1	आत्मनि	6	-	आत्मन्{पुं;7;एक}	आत्मन्{पुं;7;एक}	अधिकरणम्,6.1	अधिकरणम्,6.1	आत्मा_में	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58587a990553544aa687	06	029	1	#C6E2EB	assets/graphs/06_029_1.svg
6.1	ईक्षते	9	ईक्षते	ईक्षता{स्त्री;1;द्वि}/ईक्षता{स्त्री;2;द्वि}/ईक्ष्1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;ईक्षँ;भ्वादिः}	ईक्ष्1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;ईक्षँ;भ्वादिः}	अभिहित_कर्ता,7.3	अभिहित_कर्ता,7.3	देखता_है	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58587a990553544aa688	06	029	1	#FF1975	assets/graphs/06_029_1.svg
7.1	योग-	1.1	योगयुक्तात्मा	योग	योग	तृतीया-तत्पुरुषः,7.2	तृतीया-तत्पुरुषः,7.2	सर्वव्यापी_अनन्त_चेतन_में_एकीभाव_से_स्थितिरूप_योग_से_युक्त_आत्मावाला	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58587a990553544aa689	06	029	1	#FFFF00	assets/graphs/06_029_1.svg
7.2	युक्त-	1.2	-	युक्त	युक्त	बहुव्रीहिः,7.3	बहुव्रीहिः,7.3	-	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58587a990553544aa68a	06	029	1	#FFFF00	assets/graphs/06_029_1.svg
7.3	आत्मा	1.3	-	आत्मन्{पुं;1;एक}	आत्मन्{पुं;1;एक}	कर्ता,6.1	कर्ता,6.1	-	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58587a990553544aa68b	06	029	1	#00BFFF	assets/graphs/06_029_1.svg
8.1	सर्वत्र	2	सर्वत्र	सर्वत्र{अव्य}	सर्वत्र{अव्य}	अधिकरणम्,9.2	अधिकरणम्,9.2	सबमें	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58587a990553544aa68c	06	029	1	#FF99FF	assets/graphs/06_029_1.svg
9.1	सम-	3.1	समदर्शनः	सम	सम	बहुव्रीहिः,9.2	बहुव्रीहिः,9.2	समभाव_से_देखनेवाला_योगी	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58587a990553544aa68d	06	029	1	#FFFF00	assets/graphs/06_029_1.svg
9.2	दर्शनः	3.2	-	दर्शन{पुं;1;एक}	दर्शन{पुं;1;एक}	विशेषणम्,7.3	विशेषणम्,7.3	-	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58587a990553544aa68e	06	029	1	#00BFFF	assets/graphs/06_029_1.svg
