1	आसक्त-मनाः	[["1.1", "आसक्त-", "बहुव्रीहिः,1.2"], ["1.2", "मनाः", "कर्ता,2.1"], ["2.1", "अस्ति", "अभिहित_कर्ता,1.2"]]
2	मत्-आश्रयः	[["1.1", "मत्-", "बहुव्रीहिः,1.2"], ["1.2", "आश्रयः", "कर्ता,2.1"], ["2.1", "अस्ति", "अभिहित_कर्ता,1.2"]]
3	अ-संशयम्	[["1.1", "अ-", "नञ्-तत्पुरुषः,1.2"], ["1.2", "संशयम्", "कर्ता,2.1"], ["2.1", "अस्ति", "अभिहित_कर्ता,1.2"]]
4	एक-स्थम्	[["1.1", "एक-", "उपपद-तत्पुरुषः,1.2"], ["1.2", "स्थम्", "कर्ता,2.1"], ["2.1", "अस्ति", "अभिहित_कर्ता,1.2"]]
5	स-चर-अ-चरम्	[["1.1", "स-", "बहुव्रीहिः,1.4"], ["1.2", "चर-", "इतरेतर-द्वन्द्वः,1.4"], ["1.3", "अ-", "नञ्-तत्पुरुषः,1.4"], ["1.4", "चरम्", "कर्ता,2.1"], ["2.1", "अस्ति", "अभिहित_कर्ता,1.4"]]
6	पाप-योनयः	[["1.1", "पाप-", "बहुव्रीहिः,1.2"], ["1.2", "योनयः", "कर्ता,2.1"], ["2.1", "सन्ति", "अभिहित_कर्ता,1.2"]]
7	राज-ऋषयः	[["1.1", "राज-", "कर्मधारयः,1.2"], ["1.2", "ऋषयः", "कर्ता,2.1"], ["2.1", "सन्ति", "अभिहित_कर्ता,1.2"]]
8	अ-नित्यम्	[["1.1", "अ-", "नञ्-तत्पुरुषः,1.2"], ["1.2", "नित्यम्", "कर्ता,2.1"], ["2.1", "भवति", "अभिहित_कर्ता,1.2"]]
9	अ-सुखम्	[["1.1", "अ-", "नञ्-तत्पुरुषः,1.2"], ["1.2", "सुखम्", "कर्ता,2.1"], ["2.1", "अस्ति", "अभिहित_कर्ता,1.2"]]
10	अ-कर्मणः	[["1.1", "अ-", "नञ्-तत्पुरुषः,1.2"], ["1.2", "कर्मणः", "कर्ता,2.1"], ["2.1", "भवति", "अभिहित_कर्ता,1.2"]]
11	शरीर-यात्रा	[["1.1", "शरीर-", "षष्ठी-तत्पुरुषः,1.2"], ["1.2", "यात्रा", "कर्ता,2.1"], ["2.1", "अस्ति", "अभिहित_कर्ता,1.2"]]
12	अ-कर्मणः	[["1.1", "अ-", "नञ्-तत्पुरुषः,1.2"], ["1.2", "कर्मणः", "कर्ता,2.1"], ["2.1", "भवति", "अभिहित_कर्ता,1.2"]]
13	मत्-मनाः	[["1.1", "मत्-", "बहुव्रीहिः,1.2"], ["1.2", "मनाः", "कर्ता,2.1"], ["2.1", "सन्ति", "अभिहित_कर्ता,1.2"]]
14	मद्-भक्तः	[["1.1", "मद्-", "षष्ठी-तत्पुरुषः,1.2"], ["1.2", "भक्तः", "कर्ता,2.1"], ["2.1", "अस्ति", "अभिहित_कर्ता,1.2"]]
15	मद्-याजी	[["1.1", "मद्-", "उपपद-तत्पुरुषः,1.2"], ["1.2", "याजी", "कर्ता,2.1"], ["2.1", "अस्ति", "अभिहित_कर्ता,1.2"]]
16	नष्ट-आत्मानः	[["1.1", "नष्ट-", "बहुव्रीहिः,1.2"], ["1.2", "आत्मानः", "कर्ता,2.1"], ["2.1", "सन्ति", "अभिहित_कर्ता,1.2"]]
17	अल्प-बुद्धयः	[["1.1", "अल्प-", "बहुव्रीहिः,1.2"], ["1.2", "बुद्धयः", "कर्ता,2.1"], ["2.1", "सन्ति", "अभिहित_कर्ता,1.2"]]
18	उग्र-कर्माणः	[["1.1", "उग्र-", "बहुव्रीहिः,1.2"], ["1.2", "कर्माणः", "कर्ता,2.1"], ["2.1", "सन्ति", "अभिहित_कर्ता,1.2"]]
