	precision	recall	f1-score	support
avyayībhāvaḥ	0.0000	0.0000	0.0000	23.0000
bahuvrīhiḥ	0.3443	0.2027	0.2552	518.0000
caturthī-tatpuruṣaḥ	0.0000	0.0000	0.0000	14.0000
dvandvaḥ	1.0000	0.8293	0.9067	246.0000
dvigu-tatpuruṣaḥ	0.0000	0.0000	0.0000	1.0000
dvitīyā-tatpuruṣaḥ	0.2000	0.3571	0.2564	14.0000
karmadhārayaḥ	0.3103	0.5708	0.4020	212.0000
kevala-samāsaḥ	0.0000	0.0000	0.0000	4.0000
nañ-bahuvrīhiḥ	0.0000	0.0000	0.0000	8.0000
nañ-tatpuruṣaḥ	0.7711	0.8933	0.8277	328.0000
pañcamī-tatpuruṣaḥ	0.2000	0.3750	0.2609	24.0000
saptamī-tatpuruṣaḥ	0.3333	0.0769	0.1250	65.0000
tatpuruṣaḥ	0.2099	0.4595	0.2881	37.0000
tṛtīyā-tatpuruṣaḥ	0.3846	0.0595	0.1031	84.0000
upapada-tatpuruṣaḥ	0.8621	0.2016	0.3268	124.0000
ṣaṣṭhī-tatpuruṣaḥ	0.3132	0.3857	0.3457	350.0000
micro avg	0.4746	0.4503	0.4621	2052.0000
macro avg	0.3080	0.2757	0.2561	2052.0000
weighted avg	0.5014	0.4503	0.4438	2052.0000
