	precision	recall	f1-score	support
avyayībhāvaḥ	1.0000	0.7391	0.8500	23.0000
bahuvrīhiḥ	0.3472	0.1931	0.2481	518.0000
caturthī-tatpuruṣaḥ	0.5000	0.7143	0.5882	14.0000
dvandvaḥ	1.0000	0.8293	0.9067	246.0000
dvigu-tatpuruṣaḥ	0.0000	0.0000	0.0000	1.0000
dvitīyā-tatpuruṣaḥ	0.2308	0.4286	0.3000	14.0000
karmadhārayaḥ	0.1111	0.0048	0.0093	207.0000
kevala-samāsaḥ	0.0000	0.0000	0.0000	9.0000
nañ-bahuvrīhiḥ	0.0000	0.0000	0.0000	8.0000
nañ-tatpuruṣaḥ	0.7711	0.8933	0.8277	328.0000
pañcamī-tatpuruṣaḥ	0.2500	0.5000	0.3333	24.0000
saptamī-tatpuruṣaḥ	0.5588	0.2923	0.3838	65.0000
tatpuruṣaḥ	0.0884	0.4324	0.1468	37.0000
tṛtīyā-tatpuruṣaḥ	0.7241	0.2500	0.3717	84.0000
upapada-tatpuruṣaḥ	0.8621	0.2016	0.3268	124.0000
ṣaṣṭhī-tatpuruṣaḥ	0.3445	0.3829	0.3627	350.0000
micro avg	0.5138	0.4181	0.4610	2052.0000
macro avg	0.4243	0.3664	0.3534	2052.0000
weighted avg	0.5209	0.4181	0.4357	2052.0000
