	-	1.2-karaṇam	1.2-kartā	1.2-ṣaṣṭhī-tatpuruṣaḥ	1.2-ṣaṣṭhīsambandhaḥ	avyayībhāvaḥ	avyayībhāvaḥ-1	bahuvrīhiḥ	caturthī-tatpuruṣaḥ	dvandvaḥ	dvigu-tatpuruṣaḥ	dvitīyā-tatpuruṣaḥ	itaretara-dvandvaḥ	karmadhārayaḥ	karmadhārayaḥ-1	karmadhārayaḥ-2	karmadhārayaḥ-4	kartā	kevala-samāsaḥ	nañ-bahuvrīhiḥ	nañ-tatpuruṣaḥ	pañcamī-tatpuruṣaḥ	saptamī-tatpuruṣaḥ	tatpuruṣaḥ	tṛtīyā-tatpuruṣaḥ	upamānam	upapada-tatpuruṣaḥ	ṣaṣṭhī-tatpuruṣaḥ
-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.2-karaṇam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.2-kartā	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.2-ṣaṣṭhī-tatpuruṣaḥ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.2-ṣaṣṭhīsambandhaḥ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
avyayībhāvaḥ	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	1
avyayībhāvaḥ-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bahuvrīhiḥ	36	0	0	0	1	0	13	100	2	0	13	2	2	5	125	2	1	0	0	0	73	8	0	32	4	1	0	98
caturthī-tatpuruṣaḥ	0	0	0	0	0	0	2	0	10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
dvandvaḥ	1	0	0	0	0	0	0	7	1	204	0	4	0	1	7	10	0	0	0	0	1	1	2	0	0	0	0	7
dvigu-tatpuruṣaḥ	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dvitīyā-tatpuruṣaḥ	1	0	0	0	0	0	0	2	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4
itaretara-dvandvaḥ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
karmadhārayaḥ	1	0	1	0	0	0	0	15	5	0	2	1	0	1	0	0	0	1	0	0	0	2	7	123	1	1	0	46
karmadhārayaḥ-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
karmadhārayaḥ-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
karmadhārayaḥ-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kartā	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kevala-samāsaḥ	1	1	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nañ-bahuvrīhiḥ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
nañ-tatpuruṣaḥ	22	0	0	0	0	0	0	3	0	0	0	0	0	1	3	1	0	0	0	0	293	0	0	2	0	0	0	3
pañcamī-tatpuruṣaḥ	1	0	0	0	0	0	0	4	0	0	0	0	1	0	2	0	0	0	0	0	0	12	0	2	0	0	0	2
saptamī-tatpuruṣaḥ	0	0	0	0	0	0	0	12	0	0	0	3	0	0	8	0	1	0	0	0	0	0	19	0	2	0	1	19
tatpuruṣaḥ	0	0	0	0	0	0	9	4	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	16	0	0	0	4
tṛtīyā-tatpuruṣaḥ	1	0	0	0	0	0	0	8	0	0	0	1	0	0	12	0	1	0	0	0	0	13	3	0	21	0	0	24
upamānam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
upapada-tatpuruṣaḥ	5	0	0	1	0	0	0	18	0	0	0	0	0	0	23	1	0	0	0	0	5	0	0	0	0	0	25	46
ṣaṣṭhī-tatpuruṣaḥ	11	0	0	0	0	0	2	114	2	0	1	8	11	1	42	1	6	0	0	0	0	9	2	2	1	0	3	134
