word	kaaraka_sambandha
धर्म-	षष्ठी-तत्पुरुषः,1.2
क्षेत्रे	विशेषणम्,2.2
कुरु-	षष्ठी-तत्पुरुषः,2.2
क्षेत्रे	अधिकरणम्,9.1
समवेताः	विशेषणम्,6.1
युयुत्सवः	विशेषणम्,6.1
मामकाः	समुच्चितः,6.1
पाण्डवाः	कर्ता,9.1
च	समुच्चय_द्योतकः,6.1
एव	सम्बन्धः,6.1
किम्	कर्म,9.1
अकुर्वत	अभिहित_कर्ता,6.1;सकर्मकः.1
सञ्जय	सम्बोध्यः,9.1
word	kaaraka_sambandha
दृष्ट्वा	पूर्वकालः,11.1
तु	सम्बन्धः,11.1
पाण्डव-	षष्ठी-तत्पुरुषः,3.2
अनीकम्	कर्म,1.1
व्यूढम्	विशेषणम्,3.2
दुर्योधनः	कर्ता,11.1
तदा	कालाधिकरणम्,11.1
आचार्यम्	कर्म,8.1
उपसङ्गम्य	पूर्वकालः,11.1
राजा	विशेषणम्,5.1
वचनम्	कर्म,11.1
अब्रवीत्	अभिहित_कर्ता,5.1;द्विकर्मकः.1
word	kaaraka_sambandha
पश्य	अभिहित_कर्ता,11.1.1;सकर्मकः.1
एताम्	विशेषणम्,6.1
पाण्डु-	षष्ठी-तत्पुरुषः,3.2
पुत्राणाम्	षष्ठीसम्बन्धः,6.1
आचार्य	सम्बोध्यः,1.1
महतीम्	विशेषणम्,6.1
चमूम्	कर्म,1.1
व्यूढाम्	विशेषणम्,6.1
द्रुपद-	षष्ठी-तत्पुरुषः,8.2
पुत्रेण	करणम्,7.1
तव	षष्ठीसम्बन्धः,10.1
शिष्येण	अभेदः,8.2
धीमता	विशेषणम्,8.1
(त्वम्)	कर्ता,1.1
word	kaaraka_sambandha
अत्र	विशेषणम्,5.1
शूराः	विशेषणम्,32.1
महा-	बहुव्रीहिः,3.2
इष्वासाः	विशेषणम्,32.1
भीम-	द्वन्द्वः,4.2
अर्जुन-	बहुव्रीहिः,4.3
समाः	विशेषणम्,32.1
युधि	अधिकरणम्,35.1
युयुधानः	समुच्चितः,32.1
विराटः	समुच्चितः,32.1
च	समुच्चय_द्योतकः,3.2
द्रुपदः	समुच्चितः,32.1
च	समुच्चय_द्योतकः,32.1
महान्-	बहुव्रीहिः,11.2
रथः	विशेषणम्,9.1
धृष्टकेतुः	समुच्चितः,32.1
चेकितानः	समुच्चितः,32.1
काशिराजः	समुच्चितः,32.1
च	समुच्चय_द्योतकः,32.1
वीर्यवान्	विशेषणम्,14.1
पुरुजित्	समुच्चितः,32.1
कुन्तिभोजः	समुच्चितः,32.1
च	समुच्चय_द्योतकः,32.1
शैब्यः	समुच्चितः,32.1
च	समुच्चय_द्योतकः,32.1
नर-	सप्तमी-तत्पुरुषः,22.2
पुङ्गवः	विशेषणम्,20.1
युधामन्युः	समुच्चितः,32.1
च	समुच्चय_द्योतकः,32.1
विक्रान्तः	विशेषणम्,23.1
उत्तमौजाः	समुच्चितः,32.1
च	समुच्चय_द्योतकः,32.1
वीर्यवान्	विशेषणम्,26.1
सौभद्रः	समुच्चितः,32.1
द्रौपदेयाः	समुच्चितः,32.1
च	समुच्चय_द्योतकः,32.1
सर्वे	कर्ता,35.1
एव	सम्बन्धः,34.2
महान्-	बहुव्रीहिः,34.2
रथाः	विधेय_विशेषणम्,32.1
(सन्ति)	अभिहित_कर्ता,32.1;अकर्मकः.1
word	kaaraka_sambandha
अस्माकम्	षष्ठीसम्बन्धः,3.1
तु	सम्बन्धः,1.1
विशिष्टाः	विधेय_विशेषणम्,4.1
ये	कर्ता,4.1.1;नित्यसम्बन्धः,5.1
(सन्ति)	अभिहितकर्ता,4.1;अकर्मकः.1
तान्	कर्म,6.1
निबोध	अभिहित_कर्ता,6.1.1;सकर्मकः.1
(त्वम्)	कर्ता,6.1
द्विज-	सप्तमी-तत्पुरुषः,7.2
उत्तम	सम्बोध्यः,13.1
नायकाः	विधेय_विशेषणम्,10.2.1
मम	षष्ठीसम्बन्धः,10.1
सैन्यस्य	षष्ठीसम्बन्धः,8.1
(सन्ति)	अभिहितकर्ता,10.2.1;अकर्मकः.1
(ये)	कर्ता,10.1.1;नित्यसम्बन्धः,12.1
सञ्ज्ञा-	चतुर्थी-तत्पुरुषः,11.2
अर्थम्	प्रयोजनम्,13.1
तान्	कर्म,13.1
ब्रवीमि	अभिहित_कर्ता,14.1.1;सकर्मकः.1
ते	षष्ठीसम्बन्धः,11.2
(अहम्)	कर्ता,13.1
word	kaaraka_sambandha
भवान्	समुच्चितः,12.1
भीष्मः	समुच्चितः,12.1
च	समुच्चय_द्योतकः,2.1
कर्णः	समुच्चितः,12.1
च	समुच्चय_द्योतकः,4.1
कृपः	समुच्चितः,12.1
च	समुच्चय_द्योतकः,6.1
समितिञ्जयः	समुच्चितः,12.1
अश्वत्थामा	समुच्चितः,12.1
विकर्णः	समुच्चितः,12.1
च	समुच्चय_द्योतकः,10.1
सौमदत्तिः	कर्ता,16.1
तथा	समुच्चय_द्योतकः,12.1
एव	सम्बन्धः,13.1
च	सम्बन्धः,14.1
(अस्ति)	अभिहित_कर्ता,12.1
word	kaaraka_sambandha
अन्ये	विशेषणम्,9.2
च	सम्बन्धः,1.1
बहवः	विशेषणम्,4.1
शूराः	विशेषणम्,9.2
मत्-	चतुर्थी-तत्पुरुषः,5.2
अर्थे	प्रयोजनम्,10.1
त्यक्तजीविताः	विशेषणम्,9.2
नाना-	कर्मधारयः,7.2
शस्त्र-	बहुव्रीहिः,7.3
प्रहरणाः	विशेषणम्,9.2
सर्वे	विशेषणम्,9.2
युद्ध-	बहुव्रीहिः,9.2
विशारदाः	कर्ता,10.1
(सन्ति)	अभिहित_कर्ता,9.1
-
word	kaaraka_sambandha
अ-	नञ्-तत्पुरुषः,1.2
पर्याप्तम्	विधेय_विशेषणम्,4.1
तत्	विशेषणम्,4.1
अस्माकम्	षष्ठीसम्बन्धः,4.1
बलम्	कर्ता,5.1.1
भीष्म-	तृतीया-तत्पुरुषः,5.2
अभिरक्षितम्	विशेषणम्,4.1
(अस्ति)	अभिहित_कर्ता,4.1;अकर्मकः.1
पर्याप्तम्	विधेय_विशेषणम्,12.1.1
तु	सम्बन्धः,7.1
इदम्	विशेषणम्,11.1
एतेषाम्	षष्ठीसम्बन्धः,11.1
बलम्	कर्ता,12.1.1
भीम-	तृतीया-तत्पुरुषः,12.2
अभिरक्षितम्	विशेषणम्,11.1
(अस्ति)	अभिहित_कर्ता,11.1;अकर्मकः.1
word	kaaraka_sambandha
अयनेषु	अधिकरणम्,5.1
च	सम्बन्धः,5.1
सर्वेषु	विशेषणम्,1.1
यथा-	अव्ययीभावः,4.2
भागम्	क्रियाविशेषणम्,5.1
अवस्थिताः	विशेषणम्,9.1
भीष्मम्	कर्म,8.1
एव	सम्बन्धः,6.1
अभिरक्षन्तु	अभिहित_कर्ता,9.1;सकर्मकः.1
भवन्तः	कर्ता,8.1
सर्वे	विशेषणम्,9.1
एव	सम्बन्धः,10.1
हि	सम्बन्धः,8.1
word	kaaraka_sambandha
तस्य	षष्ठीसम्बन्धः,3.1
सञ्जनयन्	वर्तमानसमानकालः,10.1
हर्षं	कर्म,2.1
कुरु-	सप्तमी-तत्पुरुषः,4.2
वृद्धः	विशेषणम्,5.1
पितामहः	कर्ता,10.1
सिंहनादं	कर्म,7.1
विनद्य	पूर्वकालः,10.1
उच्चैः	क्रियाविशेषणम्,10.1
शङ्खं	कर्म,10.1
दध्मौ	अभिहित_कर्ता,5.1;सकर्मकः.1
प्रतापवान्	विशेषणम्,5.1
word	kaaraka_sambandha
ततः	कालाधिकरणम्,9.1
शङ्खाः	समुच्चितः,6.3
च	समुच्चय_द्योतकः,2.1
भेर्यः	समुच्चितः,6.3
च	समुच्चय_द्योतकः,6.3
पणव-	द्वन्द्वः,6.2
आनक-	द्वन्द्वः,6.3
गोमुखाः	कर्म,9.1
सहसा	क्रियाविशेषणम्,9.1
एव	सम्बन्धः,7.1
अभ्यहन्यन्त	अभिहित_कर्म,6.1;सकर्मकः.1
सः	विशेषणम्,11.1
शब्दः	कर्ता,13.1
तुमुलः	विधेय_विशेषणम्,11.1
अभवत्	अभिहित_कर्ता,11.1;अकर्मकः.1
word	kaaraka_sambandha
