धर्म-	षष्ठी-तत्पुरुषः,1.2
कुरु-	षष्ठी-तत्पुरुषः,2.2
पाण्डव-	षष्ठी-तत्पुरुषः,3.2
पाण्डु-	षष्ठी-तत्पुरुषः,3.2
द्रुपद-	षष्ठी-तत्पुरुषः,8.2
महा-	बहुव्रीहिः,3.2
भीम-	द्वन्द्वः,4.2
अर्जुन-	बहुव्रीहिः,4.3
महान्-	बहुव्रीहिः,11.2
नर-	सप्तमी-तत्पुरुषः,22.2
महान्-	बहुव्रीहिः,34.2
द्विज-	सप्तमी-तत्पुरुषः,7.2
सञ्ज्ञा-	चतुर्थी-तत्पुरुषः,11.2
मत्-	चतुर्थी-तत्पुरुषः,5.2
नाना-	कर्मधारयः,7.2
शस्त्र-	बहुव्रीहिः,7.3
युद्ध-	बहुव्रीहिः,9.2
-
अ-	नञ्-तत्पुरुषः,1.2
भीष्म-	तृतीया-तत्पुरुषः,5.2
भीम-	तृतीया-तत्पुरुषः,12.2
यथा-	अव्ययीभावः,4.2
कुरु-	सप्तमी-तत्पुरुषः,4.2
पणव-	द्वन्द्वः,6.2
आनक-	द्वन्द्वः,6.3
महान्-	कर्मधारयः,7.2
भीम-	बहुव्रीहिः,8.2
वृको-	बहुव्रीहिः,9.2
सुघोष-	द्वन्द्वः,8.2
परम-	बहुव्रीहिः,3.2
महा-	बहुव्रीहिः,6.2
अ-	नञ्-तत्पुरुषः,12.2
पृथिवी-	षष्ठी-तत्पुरुषः,17.2
महा-	बहुव्रीहिः,20.2
कपि-	बहुव्रीहिः,5.2
शस्त्र-	षष्ठी-तत्पुरुषः,7.2
मही-	षष्ठी-तत्पुरुषः,16.2
अ-	बहुव्रीहिः ,23.2
योद्धु-	बहुव्रीहिः,5.2
रण-	षष्ठी-तत्पुरुषः,12.2
दुर्-	बहुव्रीहिः ,9.2
प्रिय-	द्वितीया-तत्पुरुषः,11.2
रथ-	सप्तमी-तत्पुरुषः,10.2
भीष्म-	द्वन्द्वः,11.2
द्रोण-	षष्ठी-तत्पुरुषः,11.3
स्व-	षष्ठी-तत्पुरुषः,3.2
रोम-	षष्ठी-तत्पुरुषः,17.2
स्व-	षष्ठी-तत्पुरुषः,11.2
त्रै-	द्विगु-तत्पुरुषः,9.2
लोक्य-	षष्ठी-तत्पुरुषः,9.3
मही-	षष्ठी-तत्पुरुषः,13.2
स्व-	षष्ठी-तत्पुरुषः,7.2
स्व-	षष्ठी-तत्पुरुषः,8.2
लोभ-	तृतीया-तत्पुरुषः,5.2
उपहत-	बहुव्रीहिः,5.3
कुल-	षष्ठी-तत्पुरुषः,6.2
क्षय-	तृतीया-तत्पुरुषः,6.3
मित्र-	षष्ठी-तत्पुरुषः,8.2
कुल-	षष्ठी-तत्पुरुषः,18.2
क्षय-	तृतीया-तत्पुरुषः,18.3
कुल-	षष्ठी-तत्पुरुषः,1.2
कुल-	षष्ठी-तत्पुरुषः,3.2
अ-	नञ्-तत्पुरुषः,9.2
अ-	नञ्-तत्पुरुषः,1.2
धर्म-	षष्ठी-तत्पुरुषः,1.3
कुल-	षष्ठी-तत्पुरुषः,4.2
वर्ण-	षष्ठी-तत्पुरुषः,9.2
कुल-	उपपद-तत्पुरुषः,4.2
लुप्त-	द्वन्द्वः,11.2
पिण्ड-	षष्ठी-तत्पुरुषः,11.3
उदक-	बहुव्रीहिः,11.4
कुल-	उपपद-तत्पुरुषः,3.2
वर्ण-	षष्ठी-तत्पुरुषः,4.2
सङ्कर-	षष्ठी-तत्पुरुषः,4.3
जाति-	षष्ठी-तत्पुरुषः,6.2
कुल-	षष्ठी-तत्पुरुषः,7.2
उत्सन्न-	षष्ठी-तत्पुरुषः,1.2
कुल-	बहुव्रीहिः,1.3
अ-	नञ्-तत्पुरुषः,5.2
राज्य-	षष्ठी-तत्पुरुषः,9.2
सुख-	सप्तमी-तत्पुरुषः,9.3
स्व-	षष्ठी-तत्पुरुषः,12.2
अ-	बहुव्रीहिः,3.2
अ-	बहुव्रीहिः,4.2
शस्त्र-	बहुव्रीहिः ,5.2
रथ-	षष्ठी-तत्पुरुषः,5.2
स-	बहुव्रीहिः ,8.2
शोक-	तृतीया-तत्पुरुषः,10.2
संविग्न-	बहुव्रीहिः,10.3
अश्रु-	तृतीया-तत्पुरुषः,5.2
पूर्ण-	तृतीया-तत्पुरुषः,5.3
आकुल-	बहुव्रीहिः,5.4
अन्-	नञ्-तत्पुरुषः,7.2
आर्य-	तृतीया-तत्पुरुषः,7.3
अ-	नञ्-तत्पुरुषः,8.2
अ-	नञ्-तत्पुरुषः,9.2
कीर्ति-	उपपद-तत्पुरुषः,9.3
हृदय-	षष्ठी-तत्पुरुषः,11.2
पूजा-	सप्तमी-तत्पुरुषः,10.2
अ-	नञ्‌-तत्पुरुषः,2.2
अर्थ-	इतरेतर-द्वन्द्वः,13.2
रुधिर-	तृतीया-तत्पुरुषः,20.2
.	-
	-
कार्पण्य-	षष्ठी-तत्पुरुषः,1.2
दोष-	तृतीया-तत्पुरुषः,1.3
उपहत-	बहुव्रीहिः,1.4
धर्म-	सप्तमी-तत्पुरुषः,4.2
सम्मूढ-	बहुव्रीहिः,4.3
अ-	बहुव्रीहिः,12.2
हृषीक-	षष्ठी-तत्पुरुषः,3.2
परन्	उपपद-तत्पुरुषः,5.2
हृषीक	षष्ठी-तत्पुरुषः,3.2
अ-	नञ्-तत्पुरुषः,1.2
प्रज्ञा-	षष्ठी-तत्पुरुषः,4.2
गत-	बहुव्रीहिः,7.2
अ-	बहुव्रीहिः,8.2
गत-	बहुव्रीहिः,8.3
जन-	षष्ठी-तत्पुरुषः,12.2
देह	षष्ठी-तत्पुरुषः,9.2
अन्तर	षष्ठी-तत्पुरुषः,9.3
मात्रा-	षष्ठी-तत्पुरुषः,1.2
शीत-	इतरेतर-द्वन्द्वः,4.2
उष्ण-	इतरेतर-द्वन्द्वः,4.3
सुख-	इतरेतर-द्वन्द्वः,4.4
दुःख-	उपपद-तत्पुरुषः,4.5
आगम-	इतरेतर-द्वन्द्वः,5.2
अ-	नञ्-तत्पुरुषः,6.2
पुरुष-	सप्तमी-तत्पुरुषः,7.2
सम-	बहुव्रीहिः,8.2
दुःख-	इतरेतर-द्वन्दः,8.3
अ-	नञ्-तत्पुरुषः,2.2
अ-	नञ्-तत्पुरुषः,6.2
तत्त्व-	षष्ठी-तत्पुरुषः,15.2
अ-	नञ्-तत्पुरुषः,1.2
अ-	बहुव्रीहिः,10.2
अ-	नञ्-तत्पुरुषः,7.2
अ-	नञ्-तत्पुरुषः,8.2
अ-	बहुव्रीहिः,14.2
.	-
अ-	बहुव्रीहिः,2.2
अ-	बहुव्रीहिः,6.2
अ-	बहुव्रीहिः,7.2
अ-	नञ्-तत्पुरुषः,1.2
अ-	नञ्-तत्पुरुषः,3.2
अ-	नञ्-तत्पुरुषः,5.2
अ-	नञ्-तत्पुरुषः,6.2
सर्व-	सप्तमी-तत्पुरुषः,10.2
अ-	नञ्-तत्पुरुषः,12.2
अ-	नञ्-तत्पुरुषः,1.2
अ-	नञ्-तत्पुरुषः,3.2
अ-	नञ्-तत्पुरुषः,5.2
नित्य-	कर्मधारयः,3.2
महा-	बहुव्रीहिः,10.2
अ-	नञ्-तत्पुरुषः,10.2
अ-	नञ्‌-तत्पुरुषः,1.2
व्यक्त-	बहुव्रीहिः,1.3
व्यक्त-	बहुव्रीहिः,3.2
अ-	नञ्‌-तत्पुरुषः,5.2
व्यक्त-	बहुव्रीहिः ,5.3
अ-	नञ्-तत्पुरुषः,3.2
स्व-	षष्ठी-तत्पुरुषः,1.2
स्वर्ग-	षष्ठी-तत्पुरुषः,4.2
स्व-	षष्ठी-तत्पुरुषः,9.2
अ-	नञ्-तत्पुरुषः,1.2
अ-	बहुव्रीहिः,6.2
अ-	नञ्-तत्पुरुषः,9.2
महा-	बहुव्रीहिः,6.2
