yaWAyogyam	yaWA-yogyam	{"input": "yaWA-yogyam", "status": "success", "segmentation": ["yaWA-yogyam"], "morph": [{"word": "yaWA-", "stem": "yaWA", "root": "", "phase": "Iicc", "derivational_morph": "", "inflectional_morphs": ["iic."]}, {"word": "yogyam", "stem": "yogya#2", "root": "", "phase": "Nouc", "derivational_morph": "", "inflectional_morphs": ["m. sg. acc.", "n. sg. acc.", "n. sg. nom."]}, {"word": "yogyam", "stem": "yogya#1", "root": "yuj#1", "phase": "Kric", "derivational_morph": "pfp. [1]", "inflectional_morphs": ["n. sg. acc.", "n. sg. nom.", "m. sg. acc."]}], "source": "SH"}
prawyaham	prawi-aham	{"input": "prawi-aham", "status": "success", "segmentation": ["prawi-aham"], "morph": [{"word": "prawi-", "stem": "prawi", "root": "", "phase": "Iicc", "derivational_morph": "", "inflectional_morphs": ["iic."]}, {"word": "aham", "stem": "ahan", "root": "", "phase": "Ifcv", "derivational_morph": "", "inflectional_morphs": ["n. sg. acc.", "n. sg. nom.", "m. sg. acc."]}], "source": "SH"}
prawyaham	prawi-aham	{"input": "prawi-aham", "status": "success", "segmentation": ["prawi-aham"], "morph": [{"word": "prawi-", "stem": "prawi", "root": "", "phase": "Iicc", "derivational_morph": "", "inflectional_morphs": ["iic."]}, {"word": "aham", "stem": "ahan", "root": "", "phase": "Ifcv", "derivational_morph": "", "inflectional_morphs": ["n. sg. acc.", "n. sg. nom.", "m. sg. acc."]}], "source": "SH"}
yaWociwena	yaWA-uciwena	{"input": "yaWA-uciwena", "status": "success", "segmentation": ["yaWA-uciwena", "yaWA-uciwa-ina"], "morph": [{"word": "yaWA-", "stem": "yaWA", "root": "", "phase": "Iicc", "derivational_morph": "", "inflectional_morphs": ["iic."]}, {"word": "uciwa-", "stem": "uciwa", "root": "uc", "phase": "Iikv", "derivational_morph": "pp.", "inflectional_morphs": ["iic."]}, {"word": "uciwena", "stem": "uciwa", "root": "uc", "phase": "Kriv", "derivational_morph": "pp.", "inflectional_morphs": ["n. sg. i.", "m. sg. i."]}, {"word": "ina", "stem": "ina", "root": "", "phase": "Vocv", "derivational_morph": "", "inflectional_morphs": ["m. sg. voc.", "n. sg. voc."]}], "source": "SH"}
prawyaham	prawi-aham	{"input": "prawi-aham", "status": "success", "segmentation": ["prawi-aham"], "morph": [{"word": "prawi-", "stem": "prawi", "root": "", "phase": "Iicc", "derivational_morph": "", "inflectional_morphs": ["iic."]}, {"word": "aham", "stem": "ahan", "root": "", "phase": "Ifcv", "derivational_morph": "", "inflectional_morphs": ["n. sg. acc.", "n. sg. nom.", "m. sg. acc."]}], "source": "SH"}
prawikRaNam	prawi-kRaNam	{"input": "prawi-kRaNam", "status": "success", "segmentation": ["prawi-kRaNam"], "morph": [{"word": "prawi-", "stem": "prawi", "root": "", "phase": "Iicc", "derivational_morph": "", "inflectional_morphs": ["iic."]}, {"word": "kRaNam", "stem": "kRaNa", "root": "", "phase": "Nouc", "derivational_morph": "", "inflectional_morphs": ["m. sg. acc.", "n. sg. acc.", "n. sg. nom."]}], "source": "SH"}
yaWeRtam	yaWA-iRtam	{"input": "yaWA-iRtam", "status": "success", "segmentation": ["yaWA-iRtam"], "morph": [{"word": "yaWA-", "stem": "yaWA", "root": "", "phase": "Iicc", "derivational_morph": "", "inflectional_morphs": ["iic."]}, {"word": "iRtam", "stem": "iRta#1", "root": "iR#1", "phase": "Kriv", "derivational_morph": "pp.", "inflectional_morphs": ["n. sg. acc.", "n. sg. nom.", "m. sg. acc."]}, {"word": "iRtam", "stem": "iRta#2", "root": "yaj#1", "phase": "Kriv", "derivational_morph": "pp.", "inflectional_morphs": ["n. sg. acc.", "n. sg. nom.", "m. sg. acc."]}], "source": "SH"}
nirguNe	ni-rguNe	{"input": "ni-rguNe", "status": "unrecognized", "error": "SH could not recognize at least on chunk / word"}
xaSAnanaH	xaSa-AnanaH	{"input": "xaSa-AnanaH", "status": "success", "segmentation": ["xaSa-AnanaH"], "morph": [{"word": "xaSa-", "stem": "xaSan", "root": "", "phase": "Iicc", "derivational_morph": "", "inflectional_morphs": ["iic."]}, {"word": "AnanaH", "stem": "Anana", "root": "", "phase": "Ifcv", "derivational_morph": "", "inflectional_morphs": ["m. sg. nom."]}], "source": "SH"}
nirmaNdUkam	ni-rmaNdUkam	{"input": "ni-rmaNdUkam", "status": "unrecognized", "error": "SH could not recognize at least on chunk / word"}
upanyAsaH	upa-nyAsaH	{"input": "upa-nyAsaH", "status": "unrecognized", "error": "SH could not recognize at least on chunk / word"}
upagrahaH	upa-grahaH	{"input": "upa-grahaH", "status": "unrecognized", "error": "SH could not recognize at least on chunk / word"}
upanyAsa	upa-nyAsa	{"input": "upa-nyAsa", "status": "unrecognized", "error": "SH could not recognize at least on chunk / word"}
rAjahaMsasamIpam	rAjahaMsa-samIpam	{"input": "rAjahaMsa-samIpam", "status": "success", "segmentation": ["rAja-haMsa-samIpam"], "morph": [{"word": "rAja-", "stem": "rAjan", "root": "", "phase": "Iicc", "derivational_morph": "", "inflectional_morphs": ["iic."]}, {"word": "haMsa-", "stem": "haMsa", "root": "", "phase": "Iicc", "derivational_morph": "", "inflectional_morphs": ["iic."]}, {"word": "samIpam", "stem": "samIpa", "root": "", "phase": "Nouc", "derivational_morph": "", "inflectional_morphs": ["m. sg. acc.", "n. sg. acc.", "n. sg. nom."]}], "source": "SH"}
yaWepsiwam	yaWA-Ipsiwam	{"input": "yaWA-Ipsiwam", "status": "success", "segmentation": ["yaWA-Ipsiwam"], "morph": [{"word": "yaWA-", "stem": "yaWA", "root": "", "phase": "Iicc", "derivational_morph": "", "inflectional_morphs": ["iic."]}, {"word": "Ipsiwam", "stem": "Ipsiwa", "root": "Ap", "phase": "Kriv", "derivational_morph": "des. pp.", "inflectional_morphs": ["n. sg. acc.", "n. sg. nom.", "m. sg. acc."]}], "source": "SH"}
yaWAruci	yaWA-ruci	{"input": "yaWA-ruci", "status": "success", "segmentation": ["yaWA-ruci"], "morph": [{"word": "yaWA-", "stem": "yaWA", "root": "", "phase": "Iicc", "derivational_morph": "", "inflectional_morphs": ["iic."]}, {"word": "ruci", "stem": "ruci", "root": "", "phase": "Ifcc", "derivational_morph": "", "inflectional_morphs": ["n. sg. acc.", "n. sg. nom."]}, {"word": "ruci", "stem": "ruc#2", "root": "", "phase": "Ifcc", "derivational_morph": "", "inflectional_morphs": ["m. sg. loc.", "n. sg. loc."]}, {"word": "ruci", "stem": "ruc#2", "root": "", "phase": "Nouc", "derivational_morph": "", "inflectional_morphs": ["f. sg. loc."]}, {"word": "ruci", "stem": "ruci", "root": "", "phase": "Vocf", "derivational_morph": "", "inflectional_morphs": ["n. sg. voc."]}], "source": "SH"}
prawikarmma	prawi-karmma	{"input": "prawi-karmma", "status": "unrecognized", "error": "SH could not recognize at least on chunk / word"}
yaWAkramam	yaWA-kramam	{"input": "yaWA-kramam", "status": "success", "segmentation": ["yaWA-kramam"], "morph": [{"word": "yaWA-", "stem": "yaWA", "root": "", "phase": "Iicc", "derivational_morph": "", "inflectional_morphs": ["iic."]}, {"word": "kramam", "stem": "krama", "root": "", "phase": "Ifcc", "derivational_morph": "", "inflectional_morphs": ["n. sg. acc.", "n. sg. nom."]}, {"word": "kramam", "stem": "krama", "root": "", "phase": "Nouc", "derivational_morph": "", "inflectional_morphs": ["m. sg. acc."]}], "source": "SH"}
yaWAnyAsam	yaWA-nyAsam	{"input": "yaWA-nyAsam", "status": "success", "segmentation": ["yaWA-nyAsam", "yaWA-nI-Asam"], "morph": [{"word": "yaWA-", "stem": "yaWA", "root": "", "phase": "Iicc", "derivational_morph": "", "inflectional_morphs": ["iic."]}, {"word": "nI-", "stem": "nI#2", "root": "", "phase": "Iiif", "derivational_morph": "", "inflectional_morphs": ["iic."]}, {"word": "nyAsam", "stem": "nyAsa", "root": "", "phase": "Ifcc", "derivational_morph": "", "inflectional_morphs": ["n. sg. acc.", "n. sg. nom."]}, {"word": "nyAsam", "stem": "nyAsa", "root": "", "phase": "Nouc", "derivational_morph": "", "inflectional_morphs": ["m. sg. acc."]}, {"word": "Asam", "stem": "Asa#2", "root": "", "phase": "Ifcv", "derivational_morph": "", "inflectional_morphs": ["n. sg. acc.", "n. sg. nom."]}, {"word": "Asam", "stem": "Asa#1", "root": "", "phase": "Nouv", "derivational_morph": "", "inflectional_morphs": ["m. sg. acc.", "n. sg. acc.", "n. sg. nom."]}, {"word": "Asam", "stem": "Asa#2", "root": "", "phase": "Nouv", "derivational_morph": "", "inflectional_morphs": ["m. sg. acc."]}], "source": "SH"}
