asAXanAH	a-sAXanAH	{"input": "a-sAXanAH", "status": "unrecognized", "error": "SH could not recognize at least on chunk / word"}
laGupawanakanAmA	laGupawanaka-nAmA	{"input": "laGupawanaka-nAmA", "status": "success", "segmentation": ["laGupawanaka-nAmA"], "morph": [{"word": "laGupawanaka-", "stem": "laGupawanaka", "root": "", "phase": "Iicc", "derivational_morph": "", "inflectional_morphs": ["iic."]}, {"word": "nAmA", "stem": "nAman", "root": "", "phase": "Ifcc", "derivational_morph": "", "inflectional_morphs": ["m. sg. nom."]}], "source": "SH"}
ciwragrIvanAmA	ciwragrIva-nAmA	{"input": "ciwragrIva-nAmA", "status": "success", "segmentation": ["ciwra-grIva-nAmA"], "morph": [{"word": "ciwra-", "stem": "ciwra", "root": "", "phase": "Iicc", "derivational_morph": "", "inflectional_morphs": ["iic."]}, {"word": "grIva-", "stem": "grIva", "root": "", "phase": "Iicc", "derivational_morph": "", "inflectional_morphs": ["iic."]}, {"word": "nAmA", "stem": "nAman", "root": "", "phase": "Ifcc", "derivational_morph": "", "inflectional_morphs": ["m. sg. nom."]}], "source": "SH"}
saparivAraH	sa-parivAraH	{"input": "sa-parivAraH", "status": "unrecognized", "error": "SH could not recognize at least on chunk / word"}
kuSahaswaH	kuSa-haswaH	{"input": "kuSa-haswaH", "status": "success", "segmentation": ["kuSa-haswaH"], "morph": [{"word": "kuSa-", "stem": "kuSa", "root": "", "phase": "Iicc", "derivational_morph": "", "inflectional_morphs": ["iic."]}, {"word": "haswaH", "stem": "haswa", "root": "", "phase": "Nouc", "derivational_morph": "", "inflectional_morphs": ["m. sg. nom."]}], "source": "SH"}
snAnaSIlaH	snAna-SIlaH	{"input": "snAna-SIlaH", "status": "success", "segmentation": ["snAna-SIlaH", "snAna-Si-ilaH", "snAna-SI-ilaH"], "morph": [{"word": "snAna-", "stem": "snAna", "root": "", "phase": "Iicc", "derivational_morph": "", "inflectional_morphs": ["iic."]}, {"word": "Si-", "stem": "SI#2", "root": "", "phase": "Iiif", "derivational_morph": "", "inflectional_morphs": ["iic."]}, {"word": "SI-", "stem": "SI#2", "root": "", "phase": "Iiif", "derivational_morph": "", "inflectional_morphs": ["iic."]}, {"word": "SIlaH", "stem": "SIla", "root": "", "phase": "Nouc", "derivational_morph": "", "inflectional_morphs": ["m. sg. nom."]}, {"word": "ilaH", "stem": "ilA", "root": "", "phase": "Ifcv", "derivational_morph": "", "inflectional_morphs": ["m. sg. nom."]}], "source": "SH"}
viSvAsaBUmiH	viSvAsa-BUmiH	{"input": "viSvAsa-BUmiH", "status": "success", "segmentation": ["viSvAsa-BUmiH", "viSva-asa-BUmiH", "viSva-Asa-BUmiH", "viS-vAsa-BUmiH", "viSvA-asa-BUmiH", "viSvA-Asa-BUmiH"], "morph": [{"word": "viSva-", "stem": "viSva", "root": "", "phase": "Iicc", "derivational_morph": "", "inflectional_morphs": ["iic."]}, {"word": "viSvAsa-", "stem": "viSvAsa", "root": "", "phase": "Iicc", "derivational_morph": "", "inflectional_morphs": ["iic."]}, {"word": "viSvA-", "stem": "viSvA", "root": "", "phase": "Iicc", "derivational_morph": "", "inflectional_morphs": ["iic."]}, {"word": "viS-", "stem": "viS#2", "root": "", "phase": "Iicc", "derivational_morph": "", "inflectional_morphs": ["iic."]}, {"word": "vAsa-", "stem": "vAsa#1", "root": "", "phase": "Iicc", "derivational_morph": "", "inflectional_morphs": ["iic."]}, {"word": "vAsa-", "stem": "vAsa#2", "root": "", "phase": "Iicc", "derivational_morph": "", "inflectional_morphs": ["iic."]}, {"word": "vAsa-", "stem": "vAsa#3", "root": "", "phase": "Iicc", "derivational_morph": "", "inflectional_morphs": ["iic."]}, {"word": "asa-", "stem": "asan", "root": "", "phase": "Iicv", "derivational_morph": "", "inflectional_morphs": ["iic."]}, {"word": "Asa-", "stem": "Asan", "root": "", "phase": "Iicv", "derivational_morph": "", "inflectional_morphs": ["iic."]}, {"word": "Asa-", "stem": "Asa#1", "root": "", "phase": "Iicv", "derivational_morph": "", "inflectional_morphs": ["iic."]}, {"word": "Asa-", "stem": "Asa#2", "root": "", "phase": "Iicv", "derivational_morph": "", "inflectional_morphs": ["iic."]}, {"word": "BUmiH", "stem": "BUmi", "root": "", "phase": "Nouc", "derivational_morph": "", "inflectional_morphs": ["f. sg. nom."]}], "source": "SH"}
saPalam	sa-Palam	{"input": "sa-Palam", "status": "unrecognized", "error": "SH could not recognize at least on chunk / word"}
SaswrapANInAm	Saswra-pANInAm	{"input": "Saswra-pANInAm", "status": "success", "segmentation": ["Saswra-pANInAm", "Saswra-pANi-inAm", "Saswra-pa-ANInAm", "Saswra-pA-ANInAm", "Saswra-pa-ANi-inAm", "Saswra-pA-ANi-inAm"], "morph": [{"word": "Saswra-", "stem": "Saswra#1", "root": "", "phase": "Iicc", "derivational_morph": "", "inflectional_morphs": ["iic."]}, {"word": "Saswra-", "stem": "Saswra#2", "root": "", "phase": "Iicc", "derivational_morph": "", "inflectional_morphs": ["iic."]}, {"word": "pa-", "stem": "pa#1", "root": "", "phase": "Iiif", "derivational_morph": "", "inflectional_morphs": ["iic."]}, {"word": "pa-", "stem": "pa#2", "root": "", "phase": "Iiif", "derivational_morph": "", "inflectional_morphs": ["iic."]}, {"word": "pA-", "stem": "pA#3", "root": "", "phase": "Iiif", "derivational_morph": "", "inflectional_morphs": ["iic."]}, {"word": "pA-", "stem": "pA#4", "root": "", "phase": "Iiif", "derivational_morph": "", "inflectional_morphs": ["iic."]}, {"word": "pANi-", "stem": "pANi", "root": "", "phase": "Iicc", "derivational_morph": "", "inflectional_morphs": ["iic."]}, {"word": "pANInAm", "stem": "pANi", "root": "", "phase": "Ifcc", "derivational_morph": "", "inflectional_morphs": ["n. pl. g.", "f. pl. g."]}, {"word": "pANInAm", "stem": "pANi", "root": "", "phase": "Nouc", "derivational_morph": "", "inflectional_morphs": ["m. pl. g."]}, {"word": "ANi-", "stem": "ANi", "root": "", "phase": "Iicv", "derivational_morph": "", "inflectional_morphs": ["iic."]}, {"word": "ANInAm", "stem": "ANi", "root": "", "phase": "Ifcv", "derivational_morph": "", "inflectional_morphs": ["n. pl. g.", "f. pl. g."]}, {"word": "ANInAm", "stem": "ANi", "root": "", "phase": "Nouv", "derivational_morph": "", "inflectional_morphs": ["m. pl. g."]}, {"word": "inAm", "stem": "ina", "root": "", "phase": "Nouv", "derivational_morph": "", "inflectional_morphs": ["f. sg. acc."]}], "source": "SH"}
bahuSruwAH	bahu-SruwAH	{"input": "bahu-SruwAH", "status": "success", "segmentation": ["bahu-SruwAH"], "morph": [{"word": "bahu-", "stem": "bahu", "root": "", "phase": "Iicc", "derivational_morph": "", "inflectional_morphs": ["iic."]}, {"word": "SruwAH", "stem": "Sruwa", "root": "Sru", "phase": "Kric", "derivational_morph": "pp.", "inflectional_morphs": ["f. pl. acc.", "f. pl. nom.", "m. pl. nom."]}, {"word": "SruwAH", "stem": "Sruwa", "root": "Sru", "phase": "Vokc", "derivational_morph": "pp.", "inflectional_morphs": ["f. pl. voc.", "m. pl. voc."]}], "source": "SH"}
